roomID,room_name,location,link
50656,클레르드륀 펜션,제주특별자치도 제주시 애월읍 고내리 565-1,https://www.goodchoice.kr/product/detail?ano=50656
50657,제주 월정리바다별 펜션,제주특별자치도 제주시 구좌읍 월정리 307,https://www.goodchoice.kr/product/detail?ano=50657
50658,논산 젠 모텔,충남 논산시 연무읍 동산리 764-1,https://www.goodchoice.kr/product/detail?ano=50658
50660,무안 더케이,전남 무안군 무안읍 성동리 621-1,https://www.goodchoice.kr/product/detail?ano=50660
50661,진천 쥬얼리 무인텔,충북 진천군 광혜원면 금곡리 629-3,https://www.goodchoice.kr/product/detail?ano=50661
50663,월미도 스텔라마리스 호텔,인천 중구 북성동1가 98-24,https://www.goodchoice.kr/product/detail?ano=50663
50667,대천 코코넛 모텔,충남 보령시 신흑동 2002,https://www.goodchoice.kr/product/detail?ano=50667
50673,안성 샤넬,경기 안성시 공도읍 마정리 112-23,https://www.goodchoice.kr/product/detail?ano=50673
50679,강릉 아담,강원 강릉시 교동 1868-8,https://www.goodchoice.kr/product/detail?ano=50679
50686,이비스 스타일 앰배서더 서울 용산,서울 용산구 한강로3가 40-969,https://www.goodchoice.kr/product/detail?ano=50686
50687,노보텔 스위트 앰배서더 서울 용산,서울 용산구 한강로3가 40-969,https://www.goodchoice.kr/product/detail?ano=50687
50688,노보텔 앰배서더 서울 용산,서울 용산구 한강로3가 40-969,https://www.goodchoice.kr/product/detail?ano=50688
50689,그랜드 머큐어 앰배서더 호텔앤레지던스,서울 용산구 한강로3가 40-969,https://www.goodchoice.kr/product/detail?ano=50689
50693,서브웨이호텔,경기 시흥시 신천동 707-15,https://www.goodchoice.kr/product/detail?ano=50693
50694,클로버리조트,경기 가평군 가평읍 금대리 55-147,https://www.goodchoice.kr/product/detail?ano=50694
50697,강화 리베라,인천 강화군 길상면 온수리 43-2,https://www.goodchoice.kr/product/detail?ano=50697
50699,더화이트호텔,강원 평창군 봉평면 면온리 922,https://www.goodchoice.kr/product/detail?ano=50699
