roomID,room_name,location,link,image_link
50464,세종 샤인,세종 조치원읍 원리 1-23,https://www.goodchoice.kr/product/detail?ano=50464,//image.goodchoice.kr/resize_490x348/adimg_new/50464/217474/807319930803c3b9a70109df484bd1fd.jpg
50466,보은 K무인텔,충북 보은군 보은읍 대야리 49-1,https://www.goodchoice.kr/product/detail?ano=50466,//image.goodchoice.kr/resize_490x348/adimg_new/50466/155596/9589dbfd784b51c5de567e572f9e8151.jpg
50468,거제 패션,경남 거제시 장평동 371-1,https://www.goodchoice.kr/product/detail?ano=50468,//image.goodchoice.kr/resize_490x348/adimg_new/50468/141725/35b8b01b6e34d0981e0450656b66d902.jpg
50469,상남 퀸즈호텔,경남 창원시 성산구 상남동 20-7,https://www.goodchoice.kr/product/detail?ano=50469,//image.goodchoice.kr/resize_490x348/adimg_new/50469/142198/c5eab207669c82f37deecd8cf4df7533.jpg
50470,금오산 핑크로즈,경북 구미시 남통동 312-5,https://www.goodchoice.kr/product/detail?ano=50470,//image.goodchoice.kr/resize_490x348/adimg_new/50470/8091/311aeb5e805f8e51fbb01e2804397a63.jpg
50471,영주 2010,경북 영주시 풍기읍 수철리 317-7,https://www.goodchoice.kr/product/detail?ano=50471,//image.goodchoice.kr/resize_490x348/adimg_new/50471/142758/2dec8b8bc04059c2948ecd1622f966e4.jpg
50475,영덕 식스,경북 영덕군 영해면 성내리 790,https://www.goodchoice.kr/product/detail?ano=50475,//image.goodchoice.kr/resize_490x348/adimg_new/50475/141897/98da8e176e06eef18c12d51118f3d168.jpg
50477,남포 초원파크,부산 서구 토성동5가 53-8,https://www.goodchoice.kr/product/detail?ano=50477,//image.goodchoice.kr/resize_490x348/adimg_new/50477/285826/882290a29e159c70d461e01eab944afa.jpg
50478,서면 핑크,부산 부산진구 부전동 477-10,https://www.goodchoice.kr/product/detail?ano=50478,//image.goodchoice.kr/resize_490x348/adimg_new/50478/142936/eb02a13045a29257ae871c2107b0a089.jpg
50479,구미역 ON-온,경북 구미시 원평동 130-16,https://www.goodchoice.kr/product/detail?ano=50479,//image.goodchoice.kr/resize_490x348/adimg_new/50479/8144/68050d9a2e77286cd1ea3117597a351d.jpg
50480,부산역 플러스,부산 동구 초량동 174-2,https://www.goodchoice.kr/product/detail?ano=50480,//image.goodchoice.kr/resize_490x348/adimg_new/50480/141142/d9be263252f905c1282f7e11ab4d38bc.jpg
50484,김천 자이,경북 김천시 감호동 32,https://www.goodchoice.kr/product/detail?ano=50484,//image.goodchoice.kr/resize_490x348/adimg_new/50484/276838/6d4ed97faa29eb23aa231a7cfc241c67.jpg
50485,김천 아미가,경북 김천시 부곡동 425-7,https://www.goodchoice.kr/product/detail?ano=50485,//image.goodchoice.kr/resize_490x348/adimg_new/50485/141453/0f718ddaa34e76b96c3eadef7c09aa83.jpg
50486,김천 소야,경북 김천시 부곡동 361-44,https://www.goodchoice.kr/product/detail?ano=50486,//image.goodchoice.kr/resize_490x348/adimg_new/50486/140933/9d876b7ea131cdf785f9d186d1cb7836.jpg
50494,목포 미루,전남 목포시 상동 1144-3,https://www.goodchoice.kr/product/detail?ano=50494,//image.goodchoice.kr/resize_490x348/adimg_new/50494/141594/599fd582b6c92dda5d38b62aab8469ee.jpg
50495,보은 리젠트,충북 보은군 수한면 발산리 138-3,https://www.goodchoice.kr/product/detail?ano=50495,//image.goodchoice.kr/resize_490x348/adimg_new/50495/141995/8159301f73924b90775a554bffe205a8.jpg
50497,보은 꿈의궁전,충북 보은군 수한면 발산리 138-5,https://www.goodchoice.kr/product/detail?ano=50497,//image.goodchoice.kr/resize_490x348/adimg_new/50497/315957/e52d8602ed06c4b521a196ab39595c31.jpg
50498,공주 탑,충남 공주시 신관동 605-15,https://www.goodchoice.kr/product/detail?ano=50498,//image.goodchoice.kr/resize_490x348/adimg_new/50498/226477/f66f9f16820918e842a91a559b2661cf.jpg
50499,공주 수,충남 공주시 신관동 597-14,https://www.goodchoice.kr/product/detail?ano=50499,//image.goodchoice.kr/resize_490x348/adimg_new/50499/142847/2b3208ba799a709d8497345df177147f.JPG
50500,의정부 JBIS호텔,경기 의정부시 신곡동 764-6,https://www.goodchoice.kr/product/detail?ano=50500,//image.goodchoice.kr/resize_490x348/adimg_new/50500/342177/715202d0b37a3166d237bc5808af3cfd.jpg
50502,영등포 보보스,서울 영등포구 영등포동2가 28-97,https://www.goodchoice.kr/product/detail?ano=50502,//image.goodchoice.kr/resize_490x348/adimg_new/50502/140907/68657ae2f2333233a41b51e5b077a7a7.jpg
50505,합정 서원,서울 마포구 합정동 383-16,https://www.goodchoice.kr/product/detail?ano=50505,//image.goodchoice.kr/resize_490x348/adimg_new/50505/140729/b99d6e6f6802b3d4cbdcd821a0836dbd.jpg
50508,예산 라노스,충남 예산군 대흥면 동서리 202-2,https://www.goodchoice.kr/product/detail?ano=50508,//image.goodchoice.kr/resize_490x348/adimg_new/50508/142608/40f29c691e387294b36bed2bb5920fff.jpg
50510,수안보 궁전,충북 충주시 수안보면 온천리 148-5,https://www.goodchoice.kr/product/detail?ano=50510,//image.goodchoice.kr/resize_490x348/adimg_new/50510/8137/49d4f070fac099a140754a1df64ebd81.jpg
50512,충주 피아노,충북 충주시 봉방동 343-7,https://www.goodchoice.kr/product/detail?ano=50512,//image.goodchoice.kr/resize_490x348/adimg_new/50512/142140/2442d54c224de28c1689849f111ba224.jpg
50513,충주 K,충북 충주시 봉방동 194-2,https://www.goodchoice.kr/product/detail?ano=50513,//image.goodchoice.kr/resize_490x348/adimg_new/50513/141915/2eac2d67358fde81c8a731792319007c.jpg
50514,음성 백마령,충북 음성군 원남면 문암리 709-1,https://www.goodchoice.kr/product/detail?ano=50514,//image.goodchoice.kr/resize_490x348/adimg_new/50514/142122/c46596ecb8ce1abde9f3617fdbf99be9.jpg
50515,청양 파라다이스,충남 청양군 대치면 탄정리 410-3,https://www.goodchoice.kr/product/detail?ano=50515,//image.goodchoice.kr/resize_490x348/adimg_new/50515/145215/0721d58542907e5861008346ffa41dea.jpg
50518,남양주 호텔 그램,경기 남양주시 진접읍 금곡리 1081-5,https://www.goodchoice.kr/product/detail?ano=50518,//image.goodchoice.kr/resize_490x348/adimg_new/50518/142917/c23a6ee4d3a4e44e1063e5db20d9c8c6.jpg
50520,시흥 서브웨이호텔,경기 시흥시 신천동 707-15,https://www.goodchoice.kr/product/detail?ano=50520,//image.goodchoice.kr/resize_490x348/adimg_new/50520/141654/c7d62994e991ea902084394278a2e662.jpg
50521,소소모던펜션,전남 구례군 토지면 내서리 635,https://www.goodchoice.kr/product/detail?ano=50521,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/08/5a7be6e8b5f42.jpg
50524,호텔 더 디자이너스 프리미어 건대,서울 광진구 화양동 23-15,https://www.goodchoice.kr/product/detail?ano=50524,//image.goodchoice.kr/resize_490x348/affiliate/2020/08/14/5f363c4a21bd6.jpg
50525,전주 한옥마을 별빛 쉼터,전북 전주시 완산구 교동 211 　,https://www.goodchoice.kr/product/detail?ano=50525,//image.goodchoice.kr/resize_490x348/adimg_new/50525/0/c4447c0b5b87d2bfac4676e2d1baf2e2.JPG
50527,부산 요트스테이,부산 해운대구 우동 1393,https://www.goodchoice.kr/product/detail?ano=50527,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/08/5a7bfa04c10b1.jpg
50529,광안리 유토피아 관광호텔,부산 수영구 광안동 50-3,https://www.goodchoice.kr/product/detail?ano=50529,//image.goodchoice.kr/resize_490x348/affiliate/2019/05/14/5cda5f0c54aaf.jpg
50531,남해 프랑스리조트,경남 남해군 미조면 송정리 304-6,https://www.goodchoice.kr/product/detail?ano=50531,//image.goodchoice.kr/resize_490x348/affiliate/2019/07/03/08/08ee51065d79866e32dc7dc3dea9ce6f.jpg
50536,곤지암 꿈의궁전,경기 광주시 곤지암읍 곤지암리 435-7,https://www.goodchoice.kr/product/detail?ano=50536,//image.goodchoice.kr/resize_490x348/adimg_new/50536/141761/90ef88a5b48576ad9139ef996515d9bd.jpg
50538,거제 태평양,경남 거제시 장평동 375-6,https://www.goodchoice.kr/product/detail?ano=50538,//image.goodchoice.kr/resize_490x348/adimg_new/50538/353328/da1b8e36b0a0eda99f0d5b5bb55666d6.jpg
50539,더 홍씨호텔 강릉,강원 강릉시 교동 1879-1,https://www.goodchoice.kr/product/detail?ano=50539,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/06/5a7942be93b7a.jpg
50540,거제 프라다,경남 거제시 장평동 233,https://www.goodchoice.kr/product/detail?ano=50540,//image.goodchoice.kr/resize_490x348/adimg_new/50540/141728/31256ffac10154ddef2a4182f959398f.jpg
50541,더포힐스호텔,제주특별자치도 제주시 도두이동 1644-4,https://www.goodchoice.kr/product/detail?ano=50541,//image.goodchoice.kr/resize_490x348/affiliate/2020/10/27/5f97db7603197.jpg
50542,부산 콘트호텔,부산 중구 대청동2가 30-17,https://www.goodchoice.kr/product/detail?ano=50542,//image.goodchoice.kr/resize_490x348/affiliate/2018/02/07/5a7a5c519fbb6.jpg
